CRN,Course Subject,Course Number,Course Title,Course Section,Average Grade
30107,AAS,100,Intro Asian American Studies,AD1,3.75
41729,AAS,100,Intro Asian American Studies,AD2,3.76
43832,AAS,100,Intro Asian American Studies,AD3,3.35
48232,AAS,100,Intro Asian American Studies,AD4,3.55
48234,AAS,100,Intro Asian American Studies,AD5,3.83
50105,AAS,100,Intro Asian American Studies,AD6,N/A
51886,AAS,100,Intro Asian American Studies,B,3.46
54575,AAS,211,Asian Americans and the Arts,100,N/A
51119,AAS,258,Muslims in America,A,3.94
64476,AAS,299,Race and Criminalization,LC,N/A
46462,AAS,365,Asian American Media and Film,A,3.03
48718,AAS,390,Queer of Color Film,D,N/A
52839,AAS,561,Race and Cultural Critique,A,N/A
54768,ABE,141,ABE Principles: Biological,MGD,3.33
57089,ABE,225,ABE Principles: Bioenvironment,AE1,3.35
57086,ABE,226,ABE Principles: Bioprocessing,AE1,3.49
39997,ABE,425,Engrg Measurement Systems,AE1,3.77
47444,ABE,436,Renewable Energy Systems,XW1,3.3
47445,ABE,436,Renewable Energy Systems,XW2,N/A
51916,ABE,446,Biological Nanoengineering,KB1,N/A
51917,ABE,446,Biological Nanoengineering,KB2,N/A
29875,ABE,456,Land & Water Resources Engrg,G4,N/A
40185,ABE,456,Land & Water Resources Engrg,U3,N/A
29872,ABE,469,Industry-Linked Design Project,AE1,3.77
63197,ABE,474,Indoor Environmental Control,AG,N/A
63196,ABE,598,Environ. Containment Transport,MLC,N/A
45418,ACCY,200,Fundamentals of Accounting,OL,3.13
30111,ACCY,200,Fundamentals of Accounting,TM,3.8
30112,ACCY,201,Accounting and Accountancy I,AD1,2.97
30113,ACCY,201,Accounting and Accountancy I,AD2,3.03
30114,ACCY,201,Accounting and Accountancy I,AD3,2.49
30115,ACCY,201,Accounting and Accountancy I,AD4,3.5
30116,ACCY,201,Accounting and Accountancy I,AD5,2.82
30117,ACCY,201,Accounting and Accountancy I,AD6,3.25
45631,ACCY,201,Accounting and Accountancy I,AD7,N/A
30147,ACCY,202,Accounting and Accountancy II,AD1,3.24
30121,ACCY,202,Accounting and Accountancy II,ADA,3.11
30123,ACCY,202,Accounting and Accountancy II,ADC,3.25
30140,ACCY,202,Accounting and Accountancy II,ADG,3.25
30143,ACCY,202,Accounting and Accountancy II,ADH,3.08
30151,ACCY,202,Accounting and Accountancy II,ADJ,3.1
30155,ACCY,202,Accounting and Accountancy II,ADK,3.55
30159,ACCY,202,Accounting and Accountancy II,ADL,3.24
30161,ACCY,202,Accounting and Accountancy II,ADM,3.15
30164,ACCY,202,Accounting and Accountancy II,ADN,3.15
30168,ACCY,202,Accounting and Accountancy II,ADO,3.01
30171,ACCY,202,Accounting and Accountancy II,ADP,3.16
30176,ACCY,202,Accounting and Accountancy II,ADQ,3.17
30179,ACCY,202,Accounting and Accountancy II,ADR,3.1
30182,ACCY,202,Accounting and Accountancy II,ADS,3.01
30186,ACCY,202,Accounting and Accountancy II,ADT,2.98
30192,ACCY,301,Atg Measurement & Disclosure,AE1,3.27
30195,ACCY,301,Atg Measurement & Disclosure,AE2,3.4
30197,ACCY,301,Atg Measurement & Disclosure,AE3,3.23
30200,ACCY,301,Atg Measurement & Disclosure,AE4,3.15
30201,ACCY,301,Atg Measurement & Disclosure,AE5,3.38
30203,ACCY,301,Atg Measurement & Disclosure,AE6,3.35
60043,ACCY,302,Decision Making for Atg,AE1,3.44
30211,ACCY,302,Decision Making for Atg,AE2,3.33
30212,ACCY,302,Decision Making for Atg,AE3,3.23
30228,ACCY,302,Decision Making for Atg,AE5,3.42
30232,ACCY,302,Decision Making for Atg,AE6,3.07
30255,ACCY,302,Decision Making for Atg,AE7,3.28
30264,ACCY,303,Atg Institutions and Reg,AE1,3.3
30267,ACCY,303,Atg Institutions and Reg,AE2,3.15
30271,ACCY,303,Atg Institutions and Reg,AE3,3.4
30274,ACCY,303,Atg Institutions and Reg,AE4,3.03
30276,ACCY,303,Atg Institutions and Reg,AE5,3.42
30278,ACCY,303,Atg Institutions and Reg,AE6,3.44
46358,ACCY,303,Atg Institutions and Reg,AE7,3.13
48418,ACCY,303,Atg Institutions and Reg,AE8,3.31
30286,ACCY,304,Accounting Control Systems,AE1,3.31
30291,ACCY,304,Accounting Control Systems,AE3,3.37
30294,ACCY,304,Accounting Control Systems,AE4,3.34
